transaction_id,expected_result,exception_type
TXN0001,MATCHED,
TXN0002,MATCHED,
TXN0003,MATCHED,
TXN0004,MATCHED,
TXN0005,MATCHED,
TXN0006,MATCHED,
TXN0007,MATCHED,
TXN0008,MATCHED,
TXN0009,MATCHED,
TXN0010,MATCHED,
TXN0011,MATCHED,
TXN0012,MATCHED,
TXN0013,MATCHED,
TXN0014,MATCHED,
TXN0015,MATCHED,
TXN0016,MATCHED,
TXN0017,MATCHED,
TXN0018,MATCHED,
TXN0019,MATCHED,
TXN0020,MATCHED,
TXN0021,MATCHED,
TXN0022,MATCHED,
TXN0023,MATCHED,
TXN0024,MATCHED,
TXN0025,MATCHED,
TXN0026,MATCHED,
TXN0027,MATCHED,
TXN0028,MATCHED,
TXN0029,MATCHED,
TXN0030,MATCHED,
TXN0031,MATCHED,
TXN0032,MATCHED,
TXN0033,MATCHED,
TXN0034,MATCHED,
TXN0035,MATCHED,
TXN0036,MATCHED,
TXN0037,MATCHED,
TXN0038,MATCHED,
TXN0039,MATCHED,
TXN0040,MATCHED,
TXN0041,MATCHED,
TXN0042,MATCHED,
TXN0043,MATCHED,
TXN0044,MATCHED,
TXN0045,MATCHED,
TXN0046,MATCHED,
TXN0047,MATCHED,
TXN0048,MATCHED,
TXN0049,MATCHED,
TXN0050,MATCHED,
TXN0051,MATCHED,
TXN0052,MATCHED,
TXN0053,MATCHED,
TXN0054,MATCHED,
TXN0055,MATCHED,
TXN0056,MATCHED,
TXN0057,MATCHED,
TXN0058,MATCHED,
TXN0059,MATCHED,
TXN0060,MATCHED,
TXN0061,MATCHED,
TXN0062,MATCHED,
TXN0063,MATCHED,
TXN0064,MATCHED,
TXN0065,MATCHED,
TXN0066,MATCHED,
TXN0067,MATCHED,
TXN0068,MATCHED,
TXN0069,MATCHED,
TXN0070,MATCHED,
TXN0071,MATCHED,
TXN0072,MATCHED,
TXN0073,MATCHED,
TXN0074,MATCHED,
TXN0075,MATCHED,
TXN0076,EXCEPTION,MISSING_SETTLEMENT
TXN0077,EXCEPTION,MISSING_SETTLEMENT
TXN0078,EXCEPTION,MISSING_SETTLEMENT
TXN0079,EXCEPTION,MISSING_SETTLEMENT
TXN0080,EXCEPTION,MISSING_PAYMENT
TXN0081,EXCEPTION,MISSING_PAYMENT
TXN0082,EXCEPTION,MISSING_PAYMENT
TXN0083,EXCEPTION,CALCULATION_MISMATCH
TXN0084,EXCEPTION,CALCULATION_MISMATCH
TXN0085,EXCEPTION,CALCULATION_MISMATCH
TXN0086,EXCEPTION,CALCULATION_MISMATCH
TXN0087,EXCEPTION,CALCULATION_MISMATCH
TXN0088,EXCEPTION,CALCULATION_MISMATCH
TXN0089,EXCEPTION,CALCULATION_MISMATCH
TXN0090,EXCEPTION,CALCULATION_MISMATCH
TXN0091,EXCEPTION,CALCULATION_MISMATCH
TXN0092,EXCEPTION,CALCULATION_MISMATCH
TXN0093,EXCEPTION,CALCULATION_MISMATCH
TXN0094,EXCEPTION,CALCULATION_MISMATCH
TXN0095,EXCEPTION,STATUS_MISMATCH
TXN0096,EXCEPTION,STATUS_MISMATCH
TXN0097,EXCEPTION,STATUS_MISMATCH
TXN0098,EXCEPTION,DUPLICATE
TXN0099,EXCEPTION,DUPLICATE
TXN0100,EXCEPTION,DUPLICATE
