transaction_id,order_id,result,exception_type,requires_manual_review,payment_amount,fee,refund,adjustment,expected_settlement,actual_settlement,difference,payment_status,settlement_status
TXN0001,ORD0001,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0002,ORD0002,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0003,ORD0003,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0004,ORD0004,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0005,ORD0005,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0006,ORD0006,MATCHED,,False,999.0,19.98,0.0,0.0,979.02,979.02,0.00,SUCCESS,SETTLED
TXN0007,ORD0007,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0008,ORD0008,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
TXN0009,ORD0009,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0010,ORD0010,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0011,ORD0011,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0012,ORD0012,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0013,ORD0013,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0014,ORD0014,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0015,ORD0015,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0016,ORD0016,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0017,ORD0017,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
TXN0018,ORD0018,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0019,ORD0019,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0020,ORD0020,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
