transaction_id,order_id,payment_amount,fee,refund,adjustment,expected_settlement,actual_settlement,payment_status,settlement_status
TXN0001,ORD0001,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0002,ORD0002,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0003,ORD0003,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0004,ORD0004,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0005,ORD0005,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0006,ORD0006,999,19.98,0.0,0.0,979.02,979.02,SUCCESS,SETTLED
TXN0007,ORD0007,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0008,ORD0008,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0009,ORD0009,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0010,ORD0010,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0011,ORD0011,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0012,ORD0012,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0013,ORD0013,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0014,ORD0014,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0015,ORD0015,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0016,ORD0016,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0017,ORD0017,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0018,ORD0018,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0019,ORD0019,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0020,ORD0020,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0021,ORD0021,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0022,ORD0022,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0023,ORD0023,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0024,ORD0024,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0025,ORD0025,2999,59.98,0.0,0.0,2939.02,2939.02,SUCCESS,SETTLED
TXN0026,ORD0026,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0027,ORD0027,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0028,ORD0028,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0029,ORD0029,999,19.98,0.0,0.0,979.02,979.02,SUCCESS,SETTLED
TXN0030,ORD0030,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0031,ORD0031,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0032,ORD0032,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0033,ORD0033,999,19.98,0.0,0.0,979.02,979.02,SUCCESS,SETTLED
TXN0034,ORD0034,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0035,ORD0035,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0036,ORD0036,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0037,ORD0037,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0038,ORD0038,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0039,ORD0039,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0040,ORD0040,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0041,ORD0041,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0042,ORD0042,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0043,ORD0043,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0044,ORD0044,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0045,ORD0045,2999,59.98,0.0,0.0,2939.02,2939.02,SUCCESS,SETTLED
TXN0046,ORD0046,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0047,ORD0047,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0048,ORD0048,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0049,ORD0049,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0050,ORD0050,3999,79.98,0.0,0.0,3919.02,3919.02,SUCCESS,SETTLED
TXN0051,ORD0051,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0052,ORD0052,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0053,ORD0053,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
